review,O,C,E,A,N ,Helpfulness,Tiêu_cực,Trung_tính,Tích_cực
tã cực_kì mịn thu_hút tốt bé đang xài merie đụng voi tac thích ơi thích 100 điểm luôn á chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền rất đáng tiền,0.7022,0.7957,0.8911,0.8853,0.3096,0.72,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh báh giòn ngon nhưg nước_mắm không đều,0.6304,0.8107,0.7501,0.8406,0.3503,0.7,0.03,0.01,0.97
thời_gian giao hàng rất nhanh hoi chat o dung size,0.4797,0.5071,0.5766,0.6464,0.3979,0.27,0.0,0.11,0.89
wa bé mức nhiệt không toả đều,0.3979,0.3777,0.4398,0.4363,0.5854,0.38,0.18,0.8,0.02
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh mình rất hài_lòng cách làm_việc cửa_hàng giày rất xinh,0.6747,0.8186,0.8326,0.8942,0.2916,0.63,0.0,0.0,1.0
cửa_hàng_phục_vụ rất kém giao hàng không có quà km giống hình,0.4256,0.5853,0.4078,0.658,0.3745,0.13,0.93,0.03,0.04
mình nhận được hàng rồi nha giao rất nhanh luôn vòng 3 ngày hàng nhận được rất đẹp mình rất thích rất hài_lòng cửa_hàng rất dễ_thương còn gửi kèm giấy cám_ơn nữa ít thấy cửa_hàng nhiệt_tình vậy chất_liệu sản_phẩm thi khỏi chê chỗ đúng size mang vào rất vừa rất sang,0.6874,0.8283,0.8662,0.9056,0.2823,0.71,0.0,0.0,1.0
lần mua cửa_hàng cũng được quà sẽ ủng_hộ cửa_hàng dài_dài ạ,0.5707,0.6782,0.6238,0.8968,0.1342,0.51,0.0,0.05,0.95
đẹp lắm cửa_hàng ưng em vãi chưởng lần đầu mua trên shope thấy hài_lòng tuyệt_đối cảm_ơn cửa_hàng chúc cửa_hàng bạn đắt hàng sẽ ủng_hộ cửa_hàng dài_dài tặng 5 sản_phẩm_chất_lượng cửa_hàng_phục_vụ rất tốt,0.6202,0.8188,0.7182,0.854,0.3301,0.61,0.0,0.0,1.0
kết_nối không nhìn rõ hình thiếu màu trên màn hìnhnhập thêm mã colen222 giảm_giá nha mọi,0.5869,0.7123,0.6572,0.8599,0.1931,0.26,0.95,0.05,0.0
rất đáng tiền tă ca i mat ki nh cương lư chị bi bê na tôi rô i,0.5032,0.5747,0.5595,0.6846,0.3663,0.38,0.05,0.13,0.82
hàng rất tốt thk cửa_hàng sẽ ủng_hộ,0.5028,0.4893,0.6153,0.6622,0.3907,0.5,0.0,0.01,0.98
hàng quá kém không sạc pin vào điện_thoại được,0.3927,0.3386,0.4956,0.3822,0.6638,0.43,1.0,0.0,0.0
mặc_dù cửa_hàng gửi thiếu hàng giải_quyết nhanh gọn đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,0.665,0.7606,0.8066,0.9045,0.2114,0.46,0.0,0.01,0.99
màu hơi lem rất tốt,0.4824,0.421,0.6235,0.5575,0.5377,0.3,0.0,0.03,0.97
chất tốt mặc thoải_mái,0.507,0.4112,0.6041,0.634,0.398,0.42,0.0,0.01,0.99
mua winer giao waye rs xàm không koi hàng trc nữa lm ăn nhu shit,0.431,0.591,0.424,0.6459,0.3982,0.2,1.0,0.0,0.0
hag tốt lam,0.4028,0.2859,0.5309,0.3974,0.6638,0.12,0.0,0.01,0.99
cọ nét tòe đầu không dùng được,0.3481,0.3015,0.3799,0.3427,0.6551,0.46,0.67,0.32,0.01
cửa_hàng_phục_vụ rất tốt nhiệt_tình khách hỏi đi hỏi mấy lần cám_ơn cửa_hàng nhiều,0.5614,0.7389,0.6122,0.8364,0.2622,0.53,0.0,0.01,0.99
chất_lượng sản_phẩm rất kém cắm điện không vào yêu_cầu đổi,0.4375,0.6041,0.429,0.619,0.4635,0.49,0.99,0.0,0.0
táo rất ngon gói hàng cẩn_thận cảm_ơn cửa_hàng,0.4131,0.5226,0.4547,0.544,0.51,0.31,0.0,0.0,0.99
sản phâtm tốt đặt nhầm miếng dán gul màn_hình nhầm sang miếng cường_lực lm dán hở viền,0.4586,0.6525,0.4578,0.6633,0.4139,0.47,0.86,0.04,0.1
giống xiaomi 96 69 cục 10000 mới xiaomi ngon hơn giá rẻ hơn_nữa,0.5538,0.6829,0.5972,0.842,0.1889,0.26,0.14,0.0,0.86
đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt,0.5899,0.7291,0.6709,0.8684,0.2144,0.34,0.01,0.0,0.99
hang vietel vận_chuyển rất chậm hon 10 ngay moi nhan da vay con không kiem hàng máy chạy tam được moi dùng được 1 ngày đã hỏng ống dẫn khí vào bình,0.5576,0.7369,0.6194,0.8064,0.3194,0.6,0.01,0.01,0.98
hơi lỏng một_tẹo không đi chuyển đựng đồ rất tốt nha cách đóng_gói rất chắc_chắn điều mình rất thích,0.6354,0.743,0.774,0.9069,0.1897,0.46,0.0,0.0,1.0
đóng_gói hộp quá tệ,0.3751,0.2365,0.58,0.2007,0.8829,0.14,0.97,0.02,0.01
cảm_ơn cửa_hàng nhé giao hàng rất đàng_hoàng đẹp lắm rất vừa_ý tôi mua rất nhiều sản_phẩm trang chưa hề thất_vọng rất tốt tôi rất tin_tưởng cửa_hàng,0.6768,0.7757,0.8392,0.9146,0.2198,0.54,0.0,0.0,1.0
không có ren ngược,0.3214,0.2737,0.3938,0.2469,0.7727,0.28,0.23,0.76,0.02
sản_phẩm tốt date xa nha tặng quà dễ_thương nữa chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5868,0.7468,0.6738,0.7923,0.3564,0.63,0.0,0.0,1.0
chất_lượng sản_phẩm rất kém sóng yếu thông_số ghi 4g chạy tốc_độ 3g,0.467,0.6883,0.453,0.7144,0.3514,0.59,0.98,0.01,0.01
chất_lượng sản_phẩm kém lỗi sản_phẩm sản_phẩm bẩn,0.3705,0.4532,0.3899,0.3795,0.7054,0.41,0.99,0.0,0.0
quá tồi khuyên chân_thành đung mua cửa_hàng giao nồi không có nắp bảo ship nắp nói mấy chục lần lăngf nhằng không thấy gửi đm,0.4982,0.7089,0.5348,0.7079,0.4176,0.34,1.0,0.0,0.0
16gb quá thấp mua 64gb quá đắt không biết bao_giờ aple mới bỏ bản 16gb thay 32gb đây,0.437,0.6482,0.4365,0.6572,0.4267,0.45,0.36,0.0,0.63
son không lỳ màu lên môi bình_thường đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5281,0.6708,0.5753,0.7634,0.3076,0.65,0.0,0.02,0.98
sai mau dat,0.3316,0.188,0.5271,0.1443,0.8984,0.2,0.86,0.12,0.02
da heo hơi cứng không được giòn,0.3874,0.3018,0.4613,0.381,0.6368,0.24,0.94,0.04,0.02
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,0.6709,0.7713,0.8273,0.8873,0.2621,0.61,0.0,0.0,1.0
chất_lượng sản_phẩm rất kém đóng_gói sản_phẩm rất kém đóng_gói sản_phẩm rất kém cửa_hàng_phục_vụ rất kém cửa_hàng_phục_vụ rất kém rất không đáng tiền,0.5831,0.8224,0.6564,0.8127,0.3707,0.3,0.93,0.0,0.06
check code hàng thật,0.4076,0.2958,0.5668,0.3724,0.7124,0.12,0.0,0.06,0.94
không đúng màu đã chọn,0.3644,0.3475,0.4661,0.3853,0.6581,0.09,0.65,0.35,0.0
đẹp cảm_ơn,0.4709,0.4073,0.5638,0.5276,0.5223,0.08,0.01,0.05,0.94
giao hàng nhanh dép bị lỗi,0.3815,0.4229,0.5156,0.4287,0.6547,0.32,0.1,0.43,0.46
hàng tốt lắm nhưg bắn hk có lực,0.4143,0.3496,0.4959,0.4446,0.5722,0.31,0.04,0.76,0.19
đổi mẫu không ý_kiến đã nhắn_tin check kỹ thế_mà mỗi lần nhắn đợi cả ngày mới được trả_lời đặt quả dâu giao con cú,0.4624,0.7072,0.4601,0.7069,0.3935,0.19,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời nhân_viên phục_vụ chu_đáo,0.514,0.669,0.5461,0.7751,0.2924,0.33,0.0,0.0,1.0
nói thực không có mới_mẻ cả nhàm_chán không tạo được đột_phá về ngoại_hình_như samsung cấu_hình lên thêm nữa cũng vậy chả làm bắt_đầu_từ ip6 trở đi thấy chán rồi không muốn lên_đời máy tí cả,0.491,0.7562,0.5292,0.6433,0.5662,0.27,1.0,0.0,0.0
hàng đẹp giá rẻ 5 nha cửa_hàng,0.5432,0.5121,0.6333,0.7513,0.2552,0.52,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt rất đáng tiền nhận giày từ hôm_kia quên mất chưa đánh_giá cửa_hàng,0.6154,0.8091,0.7058,0.8554,0.3039,0.6,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn mỗi tội chân mình đi bị rộng hic cửa_hàng làm size bé hơi thig tốt hic,0.6019,0.7639,0.6996,0.8171,0.3513,0.54,0.0,0.0,1.0
mua pat riroma giao hang racking la không được zoi,0.3845,0.3323,0.4636,0.4058,0.6184,0.28,0.94,0.05,0.0
thấy review tốt nên mua đọc thấy không được mong_đợi,0.4045,0.3889,0.4413,0.4964,0.5067,0.26,0.89,0.08,0.03
cực_kì tệ dùng được 1 ngày rồi chết luôn,0.404,0.2952,0.558,0.3682,0.7042,0.3,1.0,0.0,0.0
hàng auth cửa_hàng khá ổn,0.3737,0.4402,0.3883,0.4876,0.5146,0.24,0.01,0.04,0.95
mình thật_sự thất_vọng nhận sản_phẩm gần không dùng được từ bấm mi kéo còn tệ hơn cả đồ_chơi con mình mình nghĩ tiki không nên bạn mặt_hàng không có giá_trị sử_dụng như_vậy giảm danh_tiếng tiki quá,0.5442,0.7822,0.6106,0.7429,0.466,0.43,1.0,0.0,0.0
không có điểm chê ship tốc_độ hàng chuẩn quà xinh,0.4755,0.4047,0.5754,0.5375,0.5051,0.5,0.0,0.0,1.0
sản_phẩm kém chất_lượng bé mình từ trc giờ toàn dùng meries ham rẻ mua có mã giảm_giá về dùng ngày trc ngày bị hăm luôn chất_lượng sản_phẩm rất kém rất không đáng tiền,0.6098,0.7994,0.7052,0.8532,0.3027,0.64,0.95,0.0,0.04
ốp gửi bị lồi giữa ốp,0.3101,0.1354,0.5048,0.0799,0.908,0.21,0.99,0.01,0.0
vừa lấy hàng giao từ tiki không hiểu chân_đế trầy nát hàng tái_chế vậy chả hiểu,0.4642,0.6048,0.501,0.6602,0.4335,0.5,0.59,0.4,0.01
dép chất_lượng,0.4137,0.313,0.5463,0.4021,0.6616,0.08,0.01,0.18,0.8
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh shiper he n không đu giơ va lâ y thêm cu anh_em 1k,0.583,0.7882,0.6788,0.7937,0.3998,0.54,0.0,0.0,1.0
đóng_gói sản_phẩm rất đẹp chắc_chắn chưa dùng sản_phẩm lên chưa có đánh_giá chất_lượng,0.5327,0.7492,0.5587,0.8009,0.3087,0.3,0.0,0.05,0.95
đồng_hồ đẹp chất_lượng thế_nào phải dùng mới biết,0.4098,0.4784,0.4269,0.5168,0.5296,0.12,0.0,0.07,0.93
dép quá đẹp luôn s ơi x,0.6512,0.4214,0.9082,0.7382,0.3793,0.22,0.0,0.0,1.0
đây vài tấm hình mình nâng_cấp lên ver 4 04 bạn tham_khảo hi nâg cấp mình có vài cảm_nhậnl máy chạy nhanh hơn khôg còn tinh trạng giật lác khong con bieu tuog ứng_dụng tieng nhật ram máy còn 586 mb đặc_biệt sóng lúc_nào cũng căg det còn nhiều thứ nua,0.5688,0.8459,0.6351,0.8024,0.4018,0.54,0.99,0.0,0.0
giao hàng không giống đặt size 4 tuổi giao 2 tuổilừa đảo,0.4298,0.4352,0.5264,0.5005,0.5644,0.39,0.45,0.25,0.3
tôi thường hay lên mạng đọc truyện chữ đa_phần sáng_tác bạn tuổi ten tôi đọc được rất nhiều truyện hay cảm_động xúc tích,0.5709,0.7513,0.6173,0.8445,0.2446,0.03,0.0,1.0,0.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh rất đáng tiền rất đáng tiền,0.7112,0.7846,0.9002,0.925,0.2235,0.58,0.0,0.0,1.0
may khá tốt dong hang can than cửa_hàng phuc vu tot,0.4377,0.5316,0.4607,0.6189,0.4177,0.3,0.01,0.02,0.97
giao hàng 2 lần mới nhận được đầy_đủ mở_hàng ra xem 1 mới 1 đã bị thay nhọn xước rất nhiều mình không muốn bêu_xấu cửa_hàng đề_nghị cửa_hàng đã làm_ăn phải đoàng hoàng cảm_ơn,0.5386,0.8002,0.5952,0.7405,0.4719,0.52,0.03,0.05,0.92
đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng dùng mới biết,0.4781,0.628,0.5001,0.7011,0.3757,0.25,0.0,0.06,0.93
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh bánh mới mọi ơi ngày sản_xuất 19 8 2018 nhé mình mua mấy cửa_hàng rồi cửa_hàng đóng hàng kỹ lắm bọc bên ngoài luôn mấy cửa_hàng dán thùng à,0.6175,0.816,0.7341,0.8287,0.3791,0.61,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời thơm lắm trắng sáng tự_nhiên không bị trôi hay bị lem nền ủng_hộ dài ạ,0.5483,0.7217,0.6122,0.7948,0.3258,0.9,0.0,0.01,0.99
mua 12 con khang nhung rồi cửa_hàng àk con mi8 se còn nguyên sel xài tiếng anh mượt rất đáng tiền chuẩn_bị đặt tiếp bé nữa,0.6766,0.7348,0.8536,0.9144,0.1818,0.73,0.0,0.01,0.99
mua sale hàng tiền ấy đồng_hồ hỏng cửa_hàng cũng đã hoàn tiền làm_ăn cũng uy_tín em hàng lần chất_lượng hơn nhé,0.5218,0.7059,0.5503,0.7825,0.3275,0.54,0.09,0.41,0.5
to hơn so tưởng_tượng nhìn xịn ghê,0.476,0.429,0.5804,0.5526,0.5056,0.41,0.0,0.01,0.99
quả không khác suy_nghĩ vừa đeo được một tý đã hỏng,0.4591,0.4496,0.4836,0.5847,0.4271,0.33,0.98,0.01,0.0
bật chế_độ ful scren lướt web đọc báo sẽ thấy khá khó_chịu màu_sắc không đều bật chế_độ 3 phím ảo dưới sẽ thấy đỡ ám vàng không phải đọc nội_dung dưới cùng,0.5631,0.7793,0.6258,0.7813,0.3878,0.54,0.88,0.1,0.02
chất_lượng sản_phẩm tuyệt_vời hàng giống hình sẽ ủng_hộ cửa_hàng,0.525,0.6795,0.5455,0.808,0.2465,0.69,0.0,0.0,1.0
giày ổn đẹp giá hợp_lý quan_trọng phục_vụ tốt ship siêu nhanh,0.5718,0.6627,0.6263,0.8989,0.089,0.72,0.02,0.01,0.98
r chất_lượng sản_phẩm tuyệt_vời,0.4055,0.303,0.5198,0.3499,0.6966,0.11,0.0,0.0,1.0
giao hang nhanh giao sai size giày đã chọn chọn size 35 giao 38 mang rộng hộp đóng_gói móm méo sơ_sài,0.5007,0.7195,0.5656,0.7772,0.3107,0.42,0.7,0.19,0.11
sp phù_hợp giá tiền giao hàng chậm nhầm size 1 đôi,0.3895,0.4098,0.4521,0.4166,0.6183,0.44,0.01,0.13,0.86
cửa_hàng_phục_vụ rất kém rất không đáng tiềnhắn tin cửa_hàng không thèm trả_lời giao hàng lâu cả tuần không tới tay khách_hàng,0.5941,0.7541,0.6701,0.8635,0.2451,0.26,1.0,0.0,0.0
gia_y đe_p nhe cảm_ơn cửa_hàng,0.3662,0.4019,0.3966,0.3676,0.6537,0.08,0.0,0.04,0.95
đóng_gói sản_phẩm rất đẹp chắc_chắn sản_phẩm khá tốt,0.4916,0.6315,0.5092,0.7155,0.3632,0.4,0.0,0.01,0.99
thời_gian giao hàng rất nhanh đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt chi vời xay chao be nhuyen rất đáng tiền,0.6516,0.7641,0.7841,0.8727,0.2683,0.64,0.0,0.0,0.99
máy lắp lên đẹp lắm mỗi tội không ra_gì,0.4192,0.3382,0.5293,0.452,0.5904,0.38,0.01,0.1,0.89
sản_phẩm không giống cửa_hàng quảng_cáo tôi trả hàng cửa_hàng_phục_vụ không tốt,0.4471,0.686,0.4035,0.7066,0.375,0.29,0.99,0.0,0.01
hạt rất ít,0.4717,0.458,0.5993,0.584,0.5204,0.1,0.44,0.32,0.24
hàng đẹp lắm cửa_hàng giày y hình cửa_hàng 5,0.5373,0.5597,0.5936,0.7623,0.2476,0.54,0.0,0.0,1.0
bảo lấy cao 3 5cm lấy 2cm lừa_đảo nhiều chi_tiết may lỗi không đáng mua,0.5064,0.7122,0.4832,0.8145,0.2245,0.71,0.95,0.03,0.02
cửa_hàng chu_đáo đậu ngon tốt bạn on vậy qá hài_lòng,0.4799,0.6392,0.4984,0.7391,0.3194,0.41,0.01,0.0,0.99
méo hiểu cắm vào nghe rè vãi,0.3691,0.2743,0.5489,0.2356,0.8177,0.4,1.0,0.0,0.0
giao hàng chậm mặc_dù nội_thành tuy_nhiên bù cửa_hàng đóng_gói sản_phẩm rất đẹp hộp quà cực xinh_xắn,0.6073,0.7387,0.7143,0.8422,0.2799,0.34,0.0,0.0,0.99
khăn quá mỏng nhỏ hơn khăn sữa nữa có khẩu_trang bé mình vừa_ý,0.4472,0.4947,0.4669,0.5503,0.4974,0.65,0.17,0.35,0.48
không được tô tôi lă mình,0.3894,0.3496,0.434,0.4231,0.6082,0.16,0.32,0.67,0.01
đóng_gói sản_phẩm rất đẹp chắc_chắn đang check code kết_quả hình_ảnh đã đăng kèm theo chất luọngw thế_nào chưa biết xin cảm_ơn cửa_hàng,0.5713,0.792,0.6336,0.7951,0.3529,0.29,0.0,0.12,0.88
chất_lượng sản_phẩm tuyệt_vời hộp có hơi móp chắc do bên vận_chuyển cửa_hàng 5,0.4859,0.7124,0.4872,0.7039,0.4149,0.55,0.0,0.0,1.0
tuyệt_vời không có chê sẽ ủng_hộ cửa_hàng dài_dài,0.502,0.6731,0.5018,0.794,0.2441,0.44,0.0,0.0,0.99
cửa_hàng lam an bay ba dat ta quan_di_giao ta dan ma con sai loai nua chu lam an không co duc,0.4362,0.6795,0.3974,0.6702,0.4071,0.17,0.99,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền giao hàng hơi chậm dép đẹp hình_như form hơi nhỏ so bt nên đặt lớn hơn 1 sz,0.5846,0.755,0.6616,0.8445,0.2727,0.76,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt tư_vấn rất nhiệt_tình rất đáng tiền lần đầu_tiên mua giày qua mạng rất hài_lòng cảm_ơn cửa_hàng sẽ ủng_hộ cửa_hàng nhiều mọi nên mua nhé,0.6475,0.8094,0.7771,0.8816,0.2924,0.74,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng lấy hàng mới date lâu nhất có_thể yêu cửa_hàng,0.5662,0.774,0.6208,0.7867,0.3702,0.63,0.0,0.0,1.0
mình rất hài_lòng còn được nhận thêm quà nưa thích thật,0.5137,0.4916,0.6366,0.659,0.412,0.25,0.0,0.0,1.0
mùi son hôi quá,0.4054,0.2471,0.6245,0.2952,0.7803,0.25,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn 1kg anh tha_hồ luônko nghĩ nhiều vậy con mình 3 túi cg thích ăn_mặc_dù khá cây ủng_hộ cửa_hàng dài_dài ăn gần hết rồi nên không chụp ảnh nữa,0.5878,0.8128,0.6814,0.7951,0.4148,0.68,0.0,0.0,1.0
rất hài_lòng mix rất nhiều vị sẽ ủng_hộ cửa_hàng nữa,0.5773,0.6284,0.6599,0.8537,0.1787,0.49,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời son kem mềm mịn dễ lên màu,0.5001,0.5627,0.5652,0.6903,0.3816,0.57,0.0,0.0,1.0
thời_gian giao hàng rất nhanh giầy đẹp không có hộp nha cửa_hàng,0.4768,0.5581,0.5243,0.6671,0.3875,0.47,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt chủ cửa_hàng uy_tín sẽ ủng_hộ cửa_hàng,0.6174,0.76,0.7066,0.8803,0.2321,0.67,0.0,0.0,1.0
đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh,0.6848,0.7529,0.8562,0.9376,0.1638,0.52,0.01,0.0,0.99
giòn không thơm lắm vị đậm thêm một_tí_xíu nữa quá tốt mỗi tội hơi nhạt hi mình chưa trộn sữa ăn mỗi ngũ_cốc không cũng khá ngon ăn vặt thay bim bim tốt sức_khỏe hơn,0.6171,0.7654,0.7303,0.8482,0.3192,0.56,0.0,0.01,0.99
chất lương ổn,0.3333,0.3799,0.3682,0.3656,0.6629,0.18,0.0,0.07,0.93
giao hàng vận_chuyển quá chậm bạn quá hài giao hàng chậm quá giao hàng không đúng màu kính khách đã chọn khách đánh_giá 3 bạn đánh_giá khách 1 vậy khách sửa 1 thái_độ bạn,0.564,0.7384,0.6881,0.7446,0.4518,0.2,0.24,0.09,0.67
thời_gian giao hàng rất nhanh serum còn,0.4785,0.488,0.5948,0.6177,0.4366,0.41,0.0,0.01,0.98
tốt cửa_hàng fu vu la tốt rôi mog la nay cửa_hàng co nhiêu mat hag mih se ug hô tiep,0.5205,0.6981,0.5535,0.7947,0.2767,0.42,0.01,0.05,0.93
tiền giá nấy đi êm lắm không chê dk,0.4106,0.2756,0.5441,0.3209,0.7175,0.38,0.01,0.26,0.73
fake hôm_nay mở ra thử mới thấy khác chất son khác hẳn thỏi bj 04 mình dùng mặc_dù đều loại một tem lên màu cũng rất khác son quá lỏng chờ rất lâu mới khô lên màu cũng khác hoàn_toàn thực_sự rất thất_vọng mình đã dùng 4 thỏi bj nên mình biết được chất son màu thế_nào chán,0.6011,0.8248,0.7112,0.832,0.3732,0.72,0.64,0.01,0.35
loại sp rất mỏng đường may không sát tay không phải sp đông pha mình mua ngoài tiệm thuốc_tây,0.4625,0.641,0.4613,0.7053,0.3601,0.61,0.59,0.25,0.15
chất_lượng sản_phẩm tuyệt_vời giá quá rẻ ngon mua không suy_nghĩ,0.5265,0.6613,0.552,0.8097,0.2423,0.68,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn vớ siêu đep,0.5507,0.7128,0.6098,0.7741,0.3448,0.52,0.0,0.0,1.0
gia re châ tôi lươ tô tôi bê mă tôi êm,0.412,0.3126,0.5755,0.3062,0.7576,0.5,0.01,0.15,0.84
chất_lượng sản_phẩm rất kém ba nh bi đâm mâ y lô thê na y không va o bi ch thê na y thi ăn va o chă chị bi nh thươ đươ chị,0.5124,0.7223,0.5607,0.7173,0.4222,0.31,1.0,0.0,0.0
giày rất tốt,0.5343,0.5394,0.6454,0.7694,0.3073,0.18,0.01,0.02,0.97
dù_sao đây mới thông xe kỹ_thuật còn một_số hạng_mục công_trình chưa hoàn_thiện,0.4984,0.754,0.4966,0.7874,0.294,0.12,0.01,0.93,0.06
pin nút bấm bị thụt vào không bấm được lắc nghe len keng sạc chưa được 30 pin đúng lừa người_ta chất_lượng sản_phẩm rất kém,0.5217,0.7114,0.5638,0.7448,0.3737,0.58,1.0,0.0,0.0
sản_phẩm hình giao hàng nhanh,0.3996,0.4017,0.4659,0.4884,0.5386,0.27,0.01,0.35,0.64
đóng_gói sản_phẩm rất đẹp chắc_chắn sp giống hình chụp,0.4852,0.5831,0.5241,0.6922,0.3594,0.37,0.01,0.02,0.97
cửa_hàng báo mất tối_đa 15 ngày nhận sim mất tới gần 20 ngày,0.3967,0.493,0.448,0.473,0.6006,0.26,0.99,0.01,0.0
đóng_gói sản_phẩm rất kém thời_gian giao hàng rất chậm tphcm thời_buổi rồi dịch_vụ mua hàng online như_vậy khá tệ đơn hàng cũng đơn hàng duy_nhất không bao_giờ mua trang,0.5594,0.7745,0.6273,0.7841,0.3798,0.28,1.0,0.0,0.0
đóng_gói sản_phẩm rất đẹp chắc_chắn dùng hết sẽ ủng_hộ cửa_hàng dài_dài,0.5951,0.7351,0.6792,0.8731,0.2183,0.68,0.0,0.01,0.99
hinh vuong thanh con meo,0.427,0.4317,0.5016,0.4902,0.551,0.09,0.21,0.79,0.0
gói rất chắc_chắn sản_phẩm tốt,0.4296,0.3649,0.5569,0.4349,0.645,0.37,0.01,0.02,0.97
chất lương sp tốt ưng_ý,0.4452,0.3972,0.5262,0.5296,0.5126,0.34,0.0,0.01,0.99
chất_lượng sản_phẩm rất kémặc rất hầm con minh mặc 1 đêm bị hăm đỏ 2 bên bẹn hàng trung quốc rất thất_vọng giá cao sản_phẩm quá tệ,0.585,0.7545,0.6968,0.7675,0.4161,0.49,1.0,0.0,0.0
không hài_lòng,0.3978,0.324,0.4833,0.4155,0.6262,0.24,1.0,0.0,0.0
rất đẹp y hình,0.63,0.5825,0.7672,0.8756,0.161,0.29,0.0,0.03,0.96
nhận sp bị móp méo lần thứ hai liên_tiếp tháng mua hàng phải trả,0.3508,0.3449,0.4687,0.2883,0.7651,0.27,1.0,0.0,0.0
giao hàng siêu nhanh đúng mẫu đặt chất_lượng đúng ý lần sẽ ủng_hộ cửa_hàng tiếp,0.5553,0.7183,0.6195,0.8639,0.1736,0.64,0.01,0.46,0.53
bạn_hàng đểu đéo chạy toàn chết,0.4058,0.3331,0.5176,0.3765,0.686,0.13,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời sản_phẩm tốt sẽ ủng_hộ cửa_hàng dài_dài,0.5523,0.7207,0.5935,0.8285,0.2589,0.62,0.0,0.0,1.0
mua carbon gửi vân da,0.462,0.3849,0.5138,0.6133,0.3972,0.08,0.0,1.0,0.0
rất đáng tiền cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh,0.6223,0.7049,0.7437,0.9213,0.1306,0.4,0.0,0.0,0.99
sp mít sấy mềm dai_nhách nhắn_tin trao_đổi cửa_hàng nó im luôn buôn bạn phải có tâm nhé đồ lừa_đảo còn trái_cây thập_cẩm bị bể vụn nát bét vụn nhỏ_xíu có lấy muỗng múc ăn 1kg mít sấy nguyên chắc vứt bỏ moi đừng nên mua sản_phẩm cửa_hàng vừa mất tiền vừa bực_mình,0.4964,0.7875,0.5274,0.6392,0.5867,0.53,0.99,0.0,0.0
chất_lượng sản_phẩm kém chất_lượng sản_phẩm kém 2 chỗ bị nứt liền kẹp 3 bữa chắc vỡ luôn,0.4854,0.7072,0.5054,0.6941,0.4284,0.66,0.94,0.03,0.03
